2956,にんじんとベーコンのサッと煮,72.69,1.81,4,7.95,24.96,0.23
3811,にんじんのくるみあえ,79.37,1.54,4.91,8.74,30.31,0.35
3351,わかめと油揚げのみそ汁,66.9,2.48,2.81,8.15,33.45,0.61
4748,玉ねぎのみそ汁,45.52,1.8,2.37,4.58,31.5,0.39
3871,旬の香り汁（春）,76.8,2.48,2.45,11.9,44.9,0.6
297,えびだんごとレタスのスープ,60.39,2.04,1.13,10.77,28.14,0.52
5204,具たっぷり　とん汁　,84.62,2.22,4.27,8.76,14.86,0.27
5332,簡単スイートポテト,99.26,1.13,3.46,15.81,23.06,0.44
6642,香味野菜たっぷり椀,38.06,1.55,2.34,2.85,29.33,0.39
3802,高野豆腐としいたけのじゃこ煮,84.24,1.75,0.74,17.47,33,0.38
2014,緑黄色たっぷりトマト炒め,47.46,1.74,0.21,11.41,43.84,0.48
4627,キャベツスープ,44.71,1.5,0.29,10.11,31.85,0.28
4706,スライスオニオンサラダ,44,1.5,0.15,10.3,34,0.35
9268,和風ミネストローネ,49.22,1.62,2.35,5.79,12.3,0.18
888,中国風野菜サラダ,60.49,2.36,0.41,12.76,28.41,0.57
8518,粉ふきじゃがバター,79.89,1.21,2.57,13.21,2.67,0.31
5006,ミニトマトと玉ねぎのみそ汁,48.4,1.42,0.16,11.62,25.2,0.32
6340,えびとオクラのカレースープ,46,1.63,0.16,10.78,48.6,0.35
7148,焼き野菜のサラダ,39.91,1.41,0.14,9.28,27.29,0.36
7226,なすの含め煮,38.2,1.97,0.18,8.82,38,0.53
