7226,なすの含め煮,38.2,1.97,0.18,8.82,38,0.53
6489,夏野菜のピクルス,31.6,1.63,0.21,6.9,48,0.38
297,えびだんごとレタスのスープ,60.39,2.04,1.13,10.77,28.14,0.52
2310,なす,35.2,1.76,0.16,8.16,28.8,0.48
5305,キャベツときゅうりのあっさり漬け,25.15,1.51,0.21,5.6,45.61,0.38
2014,緑黄色たっぷりトマト炒め,47.46,1.74,0.21,11.41,43.84,0.48
4627,キャベツスープ,44.71,1.5,0.29,10.11,31.85,0.28
747,なすの焼きびたし,33.4,1.44,0.15,7.92,29.35,0.41
2276,なすとズッキーニのマリネ,47.18,2.5,0.21,10.61,46.14,0.79
6340,えびとオクラのカレースープ,46,1.63,0.16,10.78,48.6,0.35
2163,もやしの甘酢あえ,26.85,1.5,0.13,5.9,27.22,0.47
4706,スライスオニオンサラダ,44,1.5,0.15,10.3,34,0.35
2224,なすと枝豆の酢みそあえ,57.68,2.81,1.24,9.81,26.1,0.8
7148,焼き野菜のサラダ,39.91,1.41,0.14,9.28,27.29,0.36
4878,なすとオクラの具だくさん汁,24.44,1.36,0.13,5.58,34.55,0.38
888,中国風野菜サラダ,60.49,2.36,0.41,12.76,28.41,0.57
5176,黄瓜彩色湯（きゅうりとザーサイのスープ）,17.61,1.56,0.8,1.27,35.1,0.37
5040,とうがんと豆苗のスープ,30.93,1.06,0.18,7.51,23.19,0.35
2344,簡単オイキムチ,22.15,1.17,0.14,5.05,36.71,0.39
1365,キャベツと青じその即席漬け,21.51,1.18,0.18,4.85,38.01,0.29
