食材名,エネルギー(kcal),エネルギー(kJ),水分,たんぱく質,脂質,炭水化物,灰分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,レチノール,α-カロテン,β-カロテン,クリプトキサンチン,β-カロテン当量,レチノール当量,D,α-トコフェロール,β-トコフェロール,γ-トコフェロール,δ-トコフェロール,K1,B1,B2,ナイアシン,B6,B12,葉酸,パントテン酸,C(Trと-を0にリプレイス)
あわ,364,1523,12.5,10.5,2.7,73.1,1.2,1,280,14,110,280,4.8,2.7,0.45,0.89,0,-,-,-,0,0,0,0.6,0,2.2,0,0,0.20,0.07,1.7,0.18,0,29,1.84,0
えんばく,380,1590,10.0,13.7,5.7,69.1,1.5,3,260,47,100,370,3.9,2.1,0.28,-,0,-,-,-,0,0,0,0.6,0.1,0,0,0,0.20,0.08,1.1,0.11,0,30,1.29,0
おおむぎ,341,1427,14.0,10.9,2.1,72.1,0.9,2,220,23	,46,180,1.3,1.4,0.32,0.85,0,-,-,-,0,0,0,0.2,Tr,0.1,0,0,0.22,0.07,3.2,0.14,0,17,0.43,0
きび,356,1490,14.0,10.6,1.7,73.1,0.6,2,170,9,84,160,2.1,2.7,0.38,-,0,-,-,-,0,0,0,Tr,Tr,0.5,0.3,0,0.15,0.05,2.0,0.20,0,13,0.94,0
こむぎ,337,1410,12.5,10.6,3.1,72.2,1.6,2,470,26,80,350,3.2,2.6,0.35,3.90,0,-,-,-,0,0,0,1.2,0.6,0,0,0,0.41,0.09,6.3,0.35,0,38,1.03,0
薄力粉,368,1540,14.0,8.0,1.7,75.9,0.4,2,120,23,12,70,0.6,0.3,0.09,0.50,0,-,-,-,0,0,0,0.3,0.2,0,0,0,0.13,0.04,0.7,0.03,0,9,0.53,0 
中力粉,368,1540,14.0,9.0,1.8,74.8,0.4,2,100,20,18,74,0.6,0.5,0.11,0.50,0,-,-,-,0,0,0,0.3,0.2,0,0,0,0.12,0.04,0.7,0.05,0,8,0.47,0 
強力粉,366,1531,14.5,11.7,1.8,71.6,0.4,2,80,20,23,75,1.0,0.8,0.15,0.38,0,-,-,-,0,0,0,0.3,0.2,0,0,0,0.10,0.05,0.9,0.07,0,15,0.77,0
プレミックス粉,366,1531,11.1,7.6,4.2,74.4,2.1,390,240,100,12,180,0.5,0.3,0.07,0.36	8,Tr,1,3,3,9,0.1,0.3,0.1,0.1,Tr,1,0.11,0.09,0.6,0.04,0.1,10,0.48,Tr
パン,264,1105,38.0,9.3,4.4,46.7,1.6,500,97,29,20,83,0.6,0.8,0.11,0.24,0,0,2,0,2,Tr,0,0.5,0.1,0.7,Tr,0,0.07,0.04,1.2,0.03,Tr,32,0.47,0 
