食材名,炭水化物,たんぱく質,脂質,ビタミン,ミネラル
あわ,1,0,0,0,0
えんぱく,1,0,0,0,0
オートミール,1,0,0,0,0
おおむぎ,1,0,0,0,0
きび,1,0,0,0,0
こむぎ,1,0,0,0,0
玄米,1,0,0,0,0
米,1,0,0,0,0
ごはん,1,0,0,0,0
ご飯,1,0,0,0,0
白米,1,0,0,0,0
小麦粉,1,0,0,0,0
強力粉,1,0,0,0,0
薄力粉,1,0,0,0,0
プレミックス粉,1,0,0,0,0
パン,1,0,0,0,0
うどん,1,0,0,0,0
そうめん,1,0,0,0,0
ひやむぎ,1,0,0,0,0
中華麺,1,0,0,0,0
沖縄そば,1,0,0,0,0
マカロニ,1,0,0,0,0
スパゲッティ,1,0,0,0,0
ぎょうざの皮,1,0,0,0,0
しゅうまいの皮,1,0,0,0,0
ピザクラスト,1,0,0,0,0
パン粉,1,0,0,0,0
そば,1,0,0,0,0
もち,1,0,0,0,0
とうもろこし,1,0,0,0,0
はとむぎ,1,0,0,0,0
ひえ,1,0,0,0,0
ライ麦,1,0,0,0,0
きくいも,1,0,0,0,0
こんにゃく,1,0,0,0,0
しらたき,1,0,0,0,0
さつまいも,1,0,0,0,0
さといも,1,0,0,0,0
みずいも,1,0,0,0,0
じゃがいも,1,0,0,0,0
やまいも,1,0,0,0,0
ながいも,1,0,0,0,0
やまといも,1,0,0,0,0
じねんじょ,1,0,0,0,0
だいじょ,1,0,0,0,0
片栗粉,1,0,0,0,0
でんぷん,1,0,0,0,0
くずきり,1,0,0,0,0
タピオカ,1,0,0,0,0
春雨,1,0,0,0,0
黒砂糖,1,0,0,0,0
和三盆,1,0,0,0,0
白糖,1,0,0,0,0
砂糖,1,0,0,0,0
グラニュー糖,1,0,0,0,0
角砂糖,1,0,0,0,0
コーヒーシュガー,1,0,0,0,0
水あめ,1,0,0,0,0
水飴,1,0,0,0,0
ブドウ糖,1,0,0,0,0
果糖,1,0,0,0,0
はちみつ,1,0,0,0,0
蜂蜜,1,0,0,0,0
ハチミツ,1,0,0,0,0
メープルシロップ,1,0,0,0,0
あずき,0,1,0,0,0
いんげん豆,0,1,0,1,0
えんどう豆,0,1,0,1,0
グリンピース,0,1,0,1,0
ささげ,0,1,0,0,0
そら豆,0,1,0,0,0
大豆,0,1,0,0,0
だいず,0,1,0,0,0
